"","Station","SummerMeanNH4","SummerMeanNO2","SummerMeanNO3","SummerMeanDIN"
"1","ADM001",1.46156212121212,0.388218181818182,14.5203924242424,16.3701727272727
"2","ADM002",1.29959605263158,0.388947368421053,20.3708842105263,22.0594276315789
"3","ADM003",1.12060684931507,0.385035616438356,11.1119684931507,12.6176109589041
"4","BLL009",2.58322380952381,0.227304761904762,8.83987142857143,11.6504
"5","BLL040",2.034056,0.296264,9.672792,12.003112
"6","BUD002",3.81625,0.136625,1.405625,5.3585
"7","BUD005",2.49362105263158,0.213784210526316,3.04227894736842,5.74968421052632
"8","CMB003",2.04259615384615,0.468308974358974,13.6298423076923,16.1407474358974
"9","CMB006",2.98274285714286,0.5577,15.8343571428571,19.3748
"10","CRR001",1.6584225,0.3649975,9.27503,11.29845
"11","CSE001",2.06036842105263,0.301572368421053,5.29783289473684,7.65977368421053
"12","DNA001",2.26876419753086,0.374554320987654,7.81787283950617,10.4611913580247
"13","DYE004",2.73984285714286,0.238728571428571,3.92768571428571,6.90625714285714
"14","EAG001",2.1842375,0.3487625,6.5250125,9.0580125
"15","EAP001",1.21389350649351,0.383853246753247,10.5715662337662,12.169312987013
"16","ELB015",1.32101153846154,0.440398717948718,13.2673,15.0287102564103
"17","ELD001",2.03240833333333,0.208041666666667,3.00884166666667,5.24929166666667
"18","FID001",1.70614285714286,0.312,16.2381428571429,18.2562857142857
"19","GOR001",1.85561818181818,0.445738961038961,11.9252584415584,14.2266155844156
"20","GRG002",0.481506896551724,0.213284482758621,13.1204362068966,13.8152275862069
"21","HCB003",0.12151095890411,0.120757534246575,9.69978630136986,9.94205479452055
"22","HCB004",0.682032911392405,0.169174683544304,10.8144481012658,11.6656556962025
"23","HCB007",1.92182567567568,0.346377027027027,8.38359594594595,10.6517986486486
"24","HCB010",0.211319736842105,0.147284210526316,9.64803026315789,10.0066342105263
"25","HCB013",0.726847619047619,0.288104761904762,10.4182380952381,11.4331904761905
"26","NSQ002",2.25602105263158,0.401994736842105,9.57643947368421,12.2344552631579
"27","OAK004",1.20414342105263,0.192076315789474,2.09855526315789,3.494775
"28","OCH014",2.5068375,0.308175,6.704275,9.5192875
"29","PGA001",5.566025,0.34725,5.414525,11.3278
"30","PMA001",1.39351428571429,0.355185714285714,8.27504285714286,10.0237428571429
"31","PSB003",1.26440759493671,0.434541772151899,12.7967620253165,14.4957113924051
"32","PSS019",0.503998630136986,0.230005479452055,12.0012671232877,12.7352712328767
"33","PTH005",1.446256,0.357984,13.7180613333333,15.5223013333333
"34","QMH002",7.53982,0.28042,5.05532,12.87556
"35","RSR837",0.985335820895522,0.322025373134328,19.554223880597,20.8615850746269
"36","SAR003",0.372777027027027,0.186991891891892,11.135522972973,11.6952918918919
"37","SEQ002",4.782875,0.292375,9.791,14.86625
"38","SIN001",3.76901066666667,0.346182666666667,6.70613733333333,10.8213306666667
"39","SJF000",0.927983783783784,0.35182972972973,20.5415027027027,21.8213162162162
"40","SJF001",0.954884210526316,0.364652631578947,19.2933973684211,20.6129342105263
"41","SJF002",1.20096111111111,0.381722222222222,19.9261222222222,21.5088055555556
"42","SKG003",0.963701408450704,0.320522535211268,15.9155647887324,17.1997887323944
"43","TOT001",1.39029230769231,0.179361538461538,2.35990769230769,3.92956153846154
"44","TOT002",1.76675,0.1185,0.398125,2.283375
